"Start";"End";"Activity name";"Location";"Trainer nickname";"Customer number";"First name";"Last name";"E-Mail";"Clubgroup name";"Newsletter";"Product name";"Price";"Attended";"Phone number"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 11";"test+11@example.com";"Intern";"yes";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000011"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 12";"test+12@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000012"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 13";"test+13@example.com";"Extern";"no";"20er Karte-Gruppe";"462.00 €";"yes";"+4917600000013"
"06/05/2026 10:00";"06/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 14";"test+14@example.com";"Extern";"yes";"20er Karte-Gruppe";"462.00 €";"yes";"+4917600000014"
"08/05/2026 11:00";"08/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 15";"test+15@example.com";"Extern";"no";"20er Karte-Gruppe";"462.00 €";"yes";"+4917600000015"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 16";"test+16@example.com";"Intern";"no";"20er Karte-Gruppe";"462.00 €";"yes";"+4917600000016"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 17";"test+17@example.com";"Extern";"yes";"3 Trial Cards-Introduction to Pilates Reformer";"59.00 €";"yes";"+4917600000017"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 18";"test+18@example.com";"Extern";"no";"3 Trial Cards-Introduction to Pilates Reformer";"59.00 €";"yes";"+4917600000018"
"06/05/2026 10:00";"06/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 19";"test+19@example.com";"Extern";"no";"3 Trial Cards-Introduction to Pilates Reformer";"59.00 €";"yes";"+4917600000019"
"08/05/2026 11:00";"08/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 20";"test+20@example.com";"Extern";"yes";"3 Trial Cards-Introduction to Pilates Reformer";"59.00 €";"yes";"+4917600000020"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 21";"test+21@example.com";"Intern";"no";"Gruppenmitgliedschaft-1 x Woche";"89.00 €";"yes";"+4917600000021"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 22";"test+22@example.com";"Extern";"no";"Gruppenmitgliedschaft-1 x Woche";"89.00 €";"yes";"+4917600000022"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 23";"test+23@example.com";"Extern";"yes";"Gruppenmitgliedschaft-1 x Woche";"89.00 €";"yes";"+4917600000023"
"06/05/2026 10:00";"06/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 24";"test+24@example.com";"Extern";"no";"Gruppenmitgliedschaft-2 x Woche";"129.00 €";"yes";"+4917600000024"
"08/05/2026 11:00";"08/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 25";"test+25@example.com";"Extern";"no";"Gruppenmitgliedschaft-2 x Woche";"129.00 €";"yes";"+4917600000025"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 26";"test+26@example.com";"Intern";"yes";"Limitless-Gruppenmitgliedschaft";"149.00 €";"yes";"+4917600000026"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 27";"test+27@example.com";"Extern";"no";"Limitless-Gruppenmitgliedschaft";"149.00 €";"yes";"+4917600000027"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 28";"test+28@example.com";"Extern";"no";"Limitless-Gruppenmitgliedschaft";"149.00 €";"yes";"+4917600000028"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 28";"test+28@example.com";"Extern";"no";"Limitless-Gruppenmitgliedschaft";"149.00 €";"yes";"+4917600000028"
